lat,lon,name,admin1,admin2,cc
65.016121,-15.572916,Aðalból,sögur og sagnir. fornminjar,„Við Aðalból í Hrafnkelsdal. bæ Hrafnkels Freysgoða. má enn sjá haug Hrafnkels. aðalsöguhetju Hrafnkelssögu. Í grenndinni hafa fundist ýmsir fornir gripir og fornminjar frá miðöldum sem þykja styðja sannleiksgildi Hrafnkelssögu“(1). Fornminjar á svæðinu eru friðlýstar (2). Þjónusta er á staðnum að sumarlagi (3).,ZF3EP47C25
64.14048,-21.949339,Aðalbygging Háskóla Íslands,byggingalist,„Árið 1936 var húsameistara ríkisins. Guðjóni Samúelssyni. falið að skipuleggja lóð Háskóla Íslands og hanna aðalbygginguna. Byggingin lýtur klassískum hefðum í byggingarlist. Framhlið hennar er samhverf um miðju. með taktföstum gluggaröðum báðum megin við framskot þar sem aðalinngangurinn er. (...) Háskólabyggingin var síðasta stórvirki Guðjóns Samúelssonar en honum entist ekki aldur til að fylgja eftir skipulagi háskólasvæðisins.“,Z6F7PTSXMB
64.147781,-21.942263,Aðalstræti 10,sögur og sagnir.  fornminjar.  byggingalist,„Í kjölfar Innréttinganna (verkstæðanna). sem stofnaðar voru um miðja 18. öld að frumkvæði Skúla Magnússonar. risu nokkur vegleg hús við Aðalstræti. Húsið við Aðalstræti 10 er eitt þeirra og er það nú elsta. heillegasta timburhús í Reykjavík.“ Húsið er frá 1762 og er hönnuður ókunnur. „Það var reist sem íbúðarhús fyrir forstjóra Innréttinganna en ullargeymsla var í risi. Árið 1807 keypti Geir Vídalín biskup húsið og gekk það undir nafninu Biskupsstofan fram undir aldamótin 1900.“ Einnig bjó þar Jens Sigurðsson aðjúnkt og bróðir hans Jón Sigurðsson dvaldi þar þegar hann heimsótti Ísland. Húsinu var breytt í verslun árið 1889 og voru þá gluggar á framhlið þess stækkaðir. Húsið var friðað árið 1981.,NRC931GB6M
65.665619,-18.085287,Aðalstræti 82,sögur og sagnir.  byggingalist.  útilist,„Við Aðalstræti 70 er einn sérstæðasti garður kaupstaðarins við Pollinn fyrir sakir listaverka sem þar eru. Höggmyndirnar eru eftir listakonuna í Fjörunni. Elísabetu Geirmundsdóttur. sem var margt til lista lagt. Hún samdi líka lög. orti þulur og ljóð. málaði. skar út í tré og myndskreytti bækur.“,CAMD1BTF72
63.682968,-20.127401,Affall,dýralíf. fuglar. berjaland,Affall í Rangárþingi eystra er áhugaverður staður fyrir fuglaskoðara. en þar er mikið fuglalíf í gryfjum og lónum (1.2). „Affallið rennur milli austur og vestur Landeyja. Áður var það mjög jökullitað. vegna tengsla við Markarfljót. Eftir fyrirhleðslur uppi á Markarfljótsaurum breyttist það og nú er Affallið tær en ekki stór bergvatnsá.“ Í ánna gengur sjóbirtingur. einhver bleikja og reynt hefur verið að rækta þar lax með ágætum árangri (3).,VJ3XGCN9U7
64.640152,-22.37743,Akrakirkja,kirkjugarðar. kirkjur. fjörur. fuglar,„Akrakirkja er í Borgarprestakalli í Borgarfjarðarprófastsdæmi. Hún var byggð árið 1900. Kirkja hefur staðið að Ökrum allt frá kristnitöku en fyrstu heimildir eru frá því um 1200. Kaþólskar kirkjur voru helgaðar Maríu guðsmóður og prestur sat þar fram undir siðaskipti. Akrar tilheyrðu Hítarnesþingum. sem voru lögð niður 1880 og sóknin lögð til Staðarhrauns og síðan til Borgar 1950. Tveim árum síðar aftur til Staðarhrauns og að nýju til Borgar 1970. Árið 1899 var kirkjan endurbyggð og stækkuð. Á árunum 1986-87 voru gerðar miklar endurbætur á kirkjunni. Hún er timburkirkja. klædd bárujárni og grunnurinn er hlaðinn“ (1). Kirkjan var friðuð árið 1990 (2).,C2X7DAR5ZE
64.317009,-22.08692,Akraneskirkja,kirkjur,„Yfirsmiður og hönnuður Akraneskirkju var Guðmundur Jakobsson frá Sauðafelli í Dölum. Hann kom á sinni tíð að mörgum kirkjubyggingum hér á landi og var brautryðjandi í þróun nýs byggingarforms íslenskra kirkna. Akraneskirkja er timburhús. átthyrningur að grunnfleti. 21.40 m að lengd og 9.00 m á breidd. (...) Listakonan. Greta Björnsson. skreytti kirkjuna að innan árið 1966. Altaristaflan. sem er frá 1870. er máluð af Sigurði Guðmundssyni málara. Frummynd af henni er í Dómkirkjunni í Reykjavík. Altarið var smíðað af Ármanni Þórðarsyni sem var fyrsti organisti kirkjunnar. Þetta var sveinsstykki hans í trésmíðanámi. Yfir kirkjuskipinu er fimm arma olíuljósahjálmur sem hinn þjóðkunni athafnamaður. Thor Jensen. gaf kirkjunni þegar hún var vígð.“,GHSUYVK31X
64.51265,-22.273481,Akrar,fjörur. fornminjar. kirkjur. kirkjugarðar. fuglar,Á Knarrarnesi í Borgarbyggð eru friðlýstar fornminjar sem þinglýst var árið 1931. Í friðlýsingu eru taldar til tvennar minjar á svæðinu. Annarsvegar Skallagrímsnaust sem eru tvær tóftir miklar á sjávarbakkanum og hinsvegar fornir akrar. sem eru staðsettir uppi á túninu.,9M87G6S1TP
64.317047,-22.083673,Akratorg,skrúðgarðar.  gróður,Akratorg er torg í miðbæ Akranesbæjar. Árið 2014 voru gerðar endurbætur og lagfæringar á torginu sem tekist hafa vel. Á torginu er listaverkið „Sjómaðurinn“ eftir Martein Guðmundsson sem var afhjúpað árið 1967 og var reist til að heiðra minningu um drukknaða sjómenn.,F56LZYJRPN
65.679863,-18.090811,Akureyrarkirkja,byggingalist.  kirkjur.  útsýni,Akureyrarkirkja var teiknuð af Guðjóni Samúelssyni. þáverandi húsameistara ríkisins og vígð árið 1940. Í kirkjunni eru margir fallegir gluggar. einn þeirra er kominn úr kirkju frá Englandi sem eyðilögð var í síðari heimsstyrjöldinni. Ljósakross í kirkjunni og predikunarstóll er skreyttur íslensku silfurbergi og á svölum kirkjuskipsins eru lágmyndir eftir Ásmund Sveinsson sem sýna atburði úr lífi Jesú. Altaristaflan yfir skírnarfonti er úr fyrstu kirkjunni sem reist var á Akureyri 1863. Það var Edvard Lehman danskur listamaður sem málaði hana og var hún færð kirkjunni að gjöf árið 1867.,6AR2YGV3EZ
